FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
46b,,1919,Person,1919-46b,25.6,linens,,20070517130622,19190711,digitised,JA70003000,,2398429,256326.6855,2085.3644,,
47,,1919,Person,1919-47,89.6,linens,,20070517130616,19190720,digitised,JA70003000,,2398430,896418.476,3907.2917,,
475,,1919,Person,1919-475,19.8,linens,,20070517130622,19190915,digitised,JA70003000,,2398431,198125.0333,1688.7088,,
475,,1919,Person,1919-475,24.1,linens,,20070517130625,19190915,assumed_shape,JA70003000,,2398432,241535.247,1744.4053,,
47a,,1919,Person,1919-47a,88.6,linens,,20070517130621,19190727,digitised,JA70003000,,2398433,886080.3756,3854.3492,,
48,,1919,Lightning,1919-48,503.5,linens,,20070517130625,19190812,assumed_shape,JA70003000,,2398434,5035009.8411,8739.1108,,
48,,1919,Person,1919-48,4900.2,linens,,20070517130648,19190713,digitised,JA70003000,,2398435,49002683.3293,51466.3938,,
48,,1919,Lightning,1919-48,11168,linens,,20070517130649,19190722,digitised,JA70003000,,2398436,111680183.7489,55184.4415,,
483,,1919,Person,1919-483,1997.8,linens,,20070517130612,19190915,digitised,JA70003000,,2398437,19978902.9665,25981.0454,,
484,,1919,Person,1919-484,1671.7,linens,,20070517130648,19190926,digitised,JA70003000,,2398438,16717247.3201,33887.2936,,
485,,1919,Person,1919-485,871,linens,,20070517130612,19190926,digitised,JA70003000,,2398439,8710817.8666,15918.2229,,
486,,1919,Person,1919-486,778.1,linens,,20070517130623,19190525,assumed_shape,JA70003000,,2398440,7781564.6273,20330.0305,,
422,,1919,Person,1919-422,168.8,linens,,20070517130612,19190919,digitised,JA70003000,,2398405,1688925.1103,5641.5239,,
422,,1919,Person,1919-422,17.9,linens,,20070517130612,19190919,digitised,JA70003000,,2398406,179915.7238,1605.0535,,
422,,1919,Person,1919-422,1328,linens,,20070517130612,19190919,digitised,JA70003000,,2398407,13280189.8372,16998.5103,,
422,,1919,Person,1919-422,89.2,linens,,20070517130613,19190819,digitised,JA70003000,,2398408,892071.2204,4709.9386,,
422,,1919,Person,1919-422,284.8,linens,,20070517130613,19190819,digitised,JA70003000,,2398409,2848920.3703,7688.2923,,
422,,1919,Person,1919-422,16,linens,,20070517130613,19190819,digitised,JA70003000,,2398410,160006.516,1675.1046,,
426,,1919,Person,1919-426,97.3,linens,,20070517130612,19190921,digitised,JA70003000,,2398411,973347.9373,5633.026,,
429a,,1919,Person,1919-429a,141.3,linens,,20070517130626,19190917,assumed_shape,JA70003000,,2398412,1413671.5988,4359.4538,,
43,,1919,Person,1919-43,41.8,linens,,20070517130610,19190715,digitised,JA70003000,,2398413,418153.8773,2518.8295,,
43,,1919,Person,1919-43,169.8,linens,,20070517130621,19190722,digitised,JA70003000,,2398414,1697996.7838,6359.6917,,
