,FIRE_ZONE,FIRE_YEAR,FIRE_MONTH,SIZE_HA
0,Coastal_MidIsland,2016,7,0.0
0,Coastal_MidIsland,2016,6,2.2
0,Coastal_MidIsland,2016,5,0.0
0,Coastal_MidIsland,2016,4,0.0
0,Coastal_MidIsland,2016,3,0.0
0,Coastal_MidIsland,2016,2,0.0
0,Coastal_MidIsland,2016,1,0.0
0,Coastal_MidIsland,2015,12,0.0
0,Coastal_MidIsland,2015,11,0.0
0,Coastal_MidIsland,2015,10,0.0
0,Coastal_MidIsland,2015,9,0.0
0,Coastal_MidIsland,2015,8,5.6
0,Coastal_MidIsland,2015,7,462.90000000000003
0,Coastal_MidIsland,2015,6,3.2
0,Coastal_MidIsland,2015,5,0.0
0,Coastal_MidIsland,2015,4,0.0
0,Coastal_MidIsland,2015,3,0.0
0,Coastal_MidIsland,2015,2,0.0
0,Coastal_MidIsland,2015,1,0.0
0,Coastal_MidIsland,2014,12,0.0
0,Coastal_MidIsland,2014,11,0.0
0,Coastal_MidIsland,2014,10,0.0
0,Coastal_MidIsland,2014,9,0.0
0,Coastal_MidIsland,2014,8,0.0
0,Coastal_MidIsland,2014,7,0.0
0,Coastal_MidIsland,2014,6,0.0
0,Coastal_MidIsland,2014,5,1.0
0,Coastal_MidIsland,2014,4,0.0
0,Coastal_MidIsland,2014,3,0.0
0,Coastal_MidIsland,2014,2,0.0
0,Coastal_MidIsland,2014,1,0.0
0,Coastal_MidIsland,2013,12,0.0
0,Coastal_MidIsland,2013,11,0.0
0,Coastal_MidIsland,2013,10,121.6
0,Coastal_MidIsland,2013,9,0.0
0,Coastal_MidIsland,2013,8,0.2
0,Coastal_MidIsland,2013,7,1.3
0,Coastal_MidIsland,2013,6,1.4
0,Coastal_MidIsland,2013,5,0.0
0,Coastal_MidIsland,2013,4,0.0
0,Coastal_MidIsland,2013,3,0.0
0,Coastal_MidIsland,2013,2,0.0
0,Coastal_MidIsland,2013,1,0.0
0,Coastal_MidIsland,2012,12,0.0
0,Coastal_MidIsland,2012,11,0.0
0,Coastal_MidIsland,2012,10,0.0
0,Coastal_MidIsland,2012,9,0.0
0,Coastal_MidIsland,2012,8,0.0
0,Coastal_MidIsland,2012,7,0.0
0,Coastal_MidIsland,2012,6,0.0
0,Coastal_MidIsland,2012,5,0.0
0,Coastal_MidIsland,2012,4,0.0
0,Coastal_MidIsland,2012,3,0.0
0,Coastal_MidIsland,2012,2,0.0
0,Coastal_MidIsland,2012,1,0.0
0,Coastal_MidIsland,2011,12,0.0
0,Coastal_MidIsland,2011,11,0.0
0,Coastal_MidIsland,2011,10,0.0
0,Coastal_MidIsland,2011,9,0.0
0,Coastal_MidIsland,2011,8,0.0
0,Coastal_MidIsland,2011,7,0.0
0,Coastal_MidIsland,2011,6,0.0
0,Coastal_MidIsland,2011,5,0.0
0,Coastal_MidIsland,2011,4,0.0
0,Coastal_MidIsland,2011,3,0.0
0,Coastal_MidIsland,2011,2,0.0
0,Coastal_MidIsland,2011,1,0.0
0,Coastal_MidIsland,2010,12,0.0
0,Coastal_MidIsland,2010,11,0.0
0,Coastal_MidIsland,2010,10,0.0
0,Coastal_MidIsland,2010,9,0.0
0,Coastal_MidIsland,2010,8,3.3
0,Coastal_MidIsland,2010,7,3.4
0,Coastal_MidIsland,2010,6,0.0
0,Coastal_MidIsland,2010,5,0.0
0,Coastal_MidIsland,2010,4,0.0
0,Coastal_MidIsland,2010,3,0.0
0,Coastal_MidIsland,2010,2,0.0
0,Coastal_MidIsland,2010,1,0.0
0,Coastal_MidIsland,2009,12,0.0
0,Coastal_MidIsland,2009,11,0.0
0,Coastal_MidIsland,2009,10,0.0
0,Coastal_MidIsland,2009,9,0.0
0,Coastal_MidIsland,2009,8,0.0
0,Coastal_MidIsland,2009,7,0.8
0,Coastal_MidIsland,2009,6,1.8
0,Coastal_MidIsland,2009,5,1.8
0,Coastal_MidIsland,2009,4,3.3
0,Coastal_MidIsland,2009,3,0.0
0,Coastal_MidIsland,2009,2,0.0
0,Coastal_MidIsland,2009,1,0.0
0,Coastal_MidIsland,2008,12,0.0
0,Coastal_MidIsland,2008,11,0.0
0,Coastal_MidIsland,2008,10,0.0
0,Coastal_MidIsland,2008,9,0.0
0,Coastal_MidIsland,2008,8,0.0
0,Coastal_MidIsland,2008,7,0.0
0,Coastal_MidIsland,2008,6,0.0
0,Coastal_MidIsland,2008,5,0.0
0,Coastal_MidIsland,2008,4,0.0
0,Coastal_MidIsland,2008,3,0.0
0,Coastal_MidIsland,2008,2,0.0
0,Coastal_MidIsland,2008,1,0.0
0,Coastal_SouthIsland,2022,12,0.0
0,Coastal_SouthIsland,2022,11,0.0
0,Coastal_SouthIsland,2022,10,8.2
0,Coastal_SouthIsland,2022,9,0.0
0,Coastal_SouthIsland,2022,8,0.0
0,Coastal_SouthIsland,2022,7,0.0
0,Coastal_SouthIsland,2022,6,0.0
0,Coastal_SouthIsland,2022,5,0.0
0,Coastal_SouthIsland,2022,4,0.0
0,Coastal_SouthIsland,2022,3,0.0
0,Coastal_SouthIsland,2022,2,0.0
0,Coastal_SouthIsland,2022,1,0.0
0,Coastal_SouthIsland,2021,12,0.0
0,Coastal_SouthIsland,2021,11,0.0
0,Coastal_SouthIsland,2021,10,0.0
0,Coastal_SouthIsland,2021,9,0.0
0,Coastal_SouthIsland,2021,8,91.3
0,Coastal_SouthIsland,2021,7,0.0
0,Coastal_SouthIsland,2021,6,0.0
0,Coastal_SouthIsland,2021,5,0.0
0,Coastal_SouthIsland,2021,4,0.0
0,Coastal_SouthIsland,2021,3,0.0
0,Coastal_SouthIsland,2021,2,0.0
0,Coastal_SouthIsland,2021,1,0.0
0,Coastal_SouthIsland,2020,12,0.0
0,Coastal_SouthIsland,2020,11,0.0
0,Coastal_SouthIsland,2020,10,0.0
0,Coastal_SouthIsland,2020,9,0.0
0,Coastal_SouthIsland,2020,8,17.2
0,Coastal_SouthIsland,2020,7,18.9
0,Coastal_SouthIsland,2020,6,0.0
0,Coastal_SouthIsland,2020,5,0.0
0,Coastal_SouthIsland,2020,4,0.0
0,Coastal_SouthIsland,2020,3,0.0
0,Coastal_SouthIsland,2020,2,0.0
0,Coastal_SouthIsland,2020,1,0.0
0,Coastal_SouthIsland,2019,12,0.0
0,Coastal_SouthIsland,2019,11,0.0
0,Coastal_SouthIsland,2019,10,0.0
0,Coastal_SouthIsland,2019,9,0.0
0,Coastal_SouthIsland,2019,8,0.0
0,Coastal_SouthIsland,2019,7,0.0
0,Coastal_SouthIsland,2019,6,0.0
0,Coastal_SouthIsland,2019,5,3.4
0,Coastal_SouthIsland,2019,4,1.5
0,Coastal_SouthIsland,2019,3,0.0
0,Coastal_SouthIsland,2019,2,0.0
0,Coastal_SouthIsland,2019,1,0.0
0,Coastal_SouthIsland,2018,12,0.0
0,Coastal_SouthIsland,2018,11,0.0
0,Coastal_SouthIsland,2018,10,0.0
0,Coastal_SouthIsland,2018,9,0.0
0,Coastal_SouthIsland,2018,8,190.9
0,Coastal_SouthIsland,2018,7,97.5
0,Coastal_SouthIsland,2018,6,1.9
0,Coastal_SouthIsland,2018,5,0.0
0,Coastal_SouthIsland,2018,4,0.0
0,Coastal_SouthIsland,2018,3,0.0
0,Coastal_SouthIsland,2018,2,0.0
0,Coastal_SouthIsland,2018,1,0.0
0,Coastal_SouthIsland,2017,12,0.0
0,Coastal_SouthIsland,2017,11,0.0
0,Coastal_SouthIsland,2017,10,256.70000000000005
0,Coastal_SouthIsland,2017,9,0.0
0,Coastal_SouthIsland,2017,8,0.0
0,Coastal_SouthIsland,2017,7,1.1
0,Coastal_SouthIsland,2017,6,1.7
0,Coastal_SouthIsland,2017,5,0.0
0,Coastal_SouthIsland,2017,4,0.0
0,Coastal_SouthIsland,2017,3,0.0
0,Coastal_SouthIsland,2017,2,0.0
0,Coastal_SouthIsland,2017,1,0.0
0,Coastal_SouthIsland,2016,12,0.0
0,Coastal_SouthIsland,2016,11,0.0
0,Coastal_SouthIsland,2016,10,0.0
0,Coastal_SouthIsland,2016,9,0.0
0,Coastal_SouthIsland,2016,8,3.6
0,Coastal_SouthIsland,2016,7,0.9
0,Coastal_SouthIsland,2016,6,0.0
0,Coastal_SouthIsland,2016,5,1.2
0,Coastal_SouthIsland,2016,4,0.0
0,Coastal_SouthIsland,2016,3,0.0
0,Coastal_SouthIsland,2016,2,0.0
0,Coastal_SouthIsland,2016,1,0.0
0,Coastal_SouthIsland,2015,12,0.0
0,Coastal_SouthIsland,2015,11,0.0
0,Coastal_SouthIsland,2015,10,1.1
0,Coastal_SouthIsland,2015,9,0.0
0,Coastal_SouthIsland,2015,8,412.1
0,Coastal_SouthIsland,2015,7,20.2
