,zone,date,area_burned,mean_temp,total_precip
285,Coastal_MidIsland,2014-03-31,0.0,5.3310344827586205,269.4
286,Coastal_MidIsland,2014-02-28,0.0,0.95,246.0
287,Coastal_MidIsland,2014-01-31,0.0,3.0269230769230777,99.0
288,Coastal_MidIsland,2013-12-31,0.0,0.9241379310344826,39.6
289,Coastal_MidIsland,2013-11-30,0.0,4.6466666666666665,150.0
290,Coastal_MidIsland,2013-10-31,121.6,9.613333333333332,25.6
291,Coastal_MidIsland,2013-09-30,0.0,15.972413793103446,215.2
292,Coastal_MidIsland,2013-08-31,0.2,18.338709677419352,84.39999999999999
293,Coastal_MidIsland,2013-07-31,1.3,19.3,6.6
294,Coastal_MidIsland,2013-06-30,1.4,15.453333333333337,46.0
295,Coastal_MidIsland,2013-05-31,0.0,12.97037037037037,64.4
296,Coastal_MidIsland,2013-04-30,0.0,8.446666666666667,58.0
297,Coastal_MidIsland,2013-03-31,0.0,5.819354838709677,157.00000000000003
298,Coastal_MidIsland,2013-02-28,0.0,3.6066666666666665,94.8
299,Coastal_MidIsland,2013-01-31,0.0,0.4740740740740741,99.4
300,Coastal_MidIsland,2012-12-31,0.0,1.99,271.6000000000001
301,Coastal_MidIsland,2012-11-30,0.0,5.1866666666666665,339.6
302,Coastal_MidIsland,2012-10-31,0.0,9.543333333333337,208.8
303,Coastal_MidIsland,2012-09-30,0.0,15.453333333333331,3.4
304,Coastal_MidIsland,2012-08-31,0.0,18.57096774193549,8.4
305,Coastal_MidIsland,2012-07-31,0.0,18.25161290322581,24.4
306,Coastal_MidIsland,2012-06-30,0.0,13.22,64.0
307,Coastal_MidIsland,2012-05-31,0.0,10.94516129032258,30.8
308,Coastal_MidIsland,2012-04-30,0.0,7.900000000000001,190.0
309,Coastal_MidIsland,2012-03-31,0.0,3.556666666666666,306.6
310,Coastal_MidIsland,2012-02-29,0.0,3.096551724137931,201.40000000000003
311,Coastal_MidIsland,2012-01-31,0.0,1.0870967741935482,367.2
312,Coastal_MidIsland,2011-12-31,0.0,1.354838709677419,144.79999999999998
